Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Movement,Latitude,Longitude,Location
MCP2690001Z,17012442,Montgomery County Police,Property Damage Crash,03/09/2017 03:07:00 PM,County,FLOWER HILL WAY,County,SNOUFFERS SCHOOL RD,,N/A,,SAME DIRECTION RIGHT TURN,CLEAR,OTHER,DAYLIGHT,PERSON,NONE DETECTED,,F958A2BE-AB93-412B-817A-DD7B85E18167,No,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",NOT DISTRACTED,VA,7AAA27EC-6442-4F4B-8800-915906A40423,SUPERFICIAL,OTHER,OTHER,39.16707167,-77.17262667,"(39.16707167, -77.17262667)"
MCP26890034,170507042,Montgomery County Police,Injury Crash,05/10/2017 08:07:00 AM,County,E GUDE DR,County,DOVER RD,,N/A,,SAME DIR REAR END,N/A,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B043CF5E-0CF5-4395-95A2-6032A7BC26A3,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,8B7A2931-F81D-485A-B251-37264292F75A,SUPERFICIAL,PASSENGER CAR,STOPPED IN TRAFFIC LANE,39.10152485,-77.14151278,"(39.10152485, -77.14151278)"
MCP2559001K,17005760,Montgomery County Police,Property Damage Crash,02/02/2017 11:35:00 AM,Maryland (State),MIDCOUNTY HWY,Unknown,SPUR FR GOSHEN RD,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,74A8D319-0347-48D1-A32A-D02D645DE7CF,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,446CD173-83B0-4F0D-B060-1DE02DE5D0E7,DISABLING,PASSENGER CAR,STARTING FROM LANE,39.15795333,-77.191485,"(39.15795333, -77.191485)"
MCP2601000F,17002068,Montgomery County Police,Property Damage Crash,01/12/2017 06:19:00 PM,Maryland (State),UNIVERSITY BLVD W,County,LORAIN AVE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,5D54DB9F-5101-4D4F-9F6A-DD873E08DEAF,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,D94E0A7C-64A0-4486-AD4D-CF3BF214ADC4,NO DAMAGE,PASSENGER CAR,SLOWING OR STOPPING,39.02175101,-77.01521158,"(39.02175101, -77.01521158)"
MCP27170041,15061562,MONTGOMERY,Property Damage Crash,12/02/2015 04:15:00 PM,County,FALLS RD,Maryland (State),RIVER RD,,N/A,,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,BD028144-F928-4042-A0F6-6B5AE47BE93B,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,F804FACC-314E-4E26-8538-BEB7BA435F00,FUNCTIONAL,PASSENGER CAR,MAKING LEFT TURN,39.01803333,-77.20893,"(39.01803333, -77.20893)"
MCP26220018,170509544,Montgomery County Police,Property Damage Crash,05/24/2017 05:33:00 AM,US (State),COLUMBIA PIKE,Ramp,RAMP 8 FR US 29 SB TO DUSTIN RD,,N/A,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAWN,NO CONTROLS,NONE DETECTED,,36708A03-E588-4A8C-8F8F-749E47457C17,Yes,NO APPARENT INJURY,"N/A, WET",LOOKED BUT DID NOT SEE,MD,168CE8CE-4595-4393-B7DB-78B090271A61,FUNCTIONAL,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,39.12744167,-76.92253167,"(39.12744167, -76.92253167)"
MCP2946001C,16024177,Montgomery County Police,Property Damage Crash,05/15/2016 06:24:00 PM,County,SNOWDEN FARM PKWY,County,BURNT HILL RD,,N/A,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,2A9DF579-9189-421E-BBB6-8569F433FBF8,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4257F644-52C4-42F2-9745-BC5DA73BB374,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.248315,-77.27379833,"(39.248315, -77.27379833)"
MCP29000027,170502528,Montgomery County Police,Property Damage Crash,04/10/2017 10:00:00 AM,Municipality,MIDWAY AVE,Municipality,CRAWFORD DR,,ROCKVILLE,,OTHER,CLEAR,DRY,DAYLIGHT,N/A,N/A,,9E9857BF-85FE-4A7C-A521-97E5CF07CE72,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,65E6BBA9-DCCD-49EB-9C43-7FC507D2B5CB,SUPERFICIAL,PASSENGER CAR,BACKING,39.07185345,-77.11904526,"(39.07185345, -77.11904526)"
MCP28480013,15035689,MONTGOMERY,Property Damage Crash,07/20/2015 11:17:00 AM,Maryland (State),RIVER RD,County,HARRINGTON DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,757A7DAF-5A4E-4A1D-895A-59A467007DC1,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B571BBD1-2A0E-4458-9DD6-9AA64CA8EC5D,DISABLING,VAN,STOPPED IN TRAFFIC LANE,39.01198333,-77.155735,"(39.01198333, -77.155735)"
MCP2260000Y,15056612,MONTGOMERY,Injury Crash,11/06/2015 05:40:00 PM,Maryland (State),NORBECK RD,Municipality,E GUDE DR,,ROCKVILLE,,SAME DIR REAR END,N/A,WET,DARK LIGHTS ON,N/A,N/A,,28A4220E-A5AB-46E8-ABB7-A065DE634724,Yes,SUSPECTED MINOR INJURY,"N/A, RAIN, SNOW",OTHER DISTRACTION,MD,71767AAF-F999-4376-B07E-D001458D0A57,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.10622333,-77.15288,"(39.10622333, -77.15288)"
MCP9442000Y,170515970,Montgomery County Police,Property Damage Crash,06/27/2017 09:59:00 AM,County,WIGHTMAN RD,County,ASPENWOOD LA,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,452F52BD-F52D-4EA0-A20B-00FD7AE05C92,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,85CAFFB5-29B3-40CB-AE06-CDC3AA2B92F4,FUNCTIONAL,PASSENGER CAR,MAKING LEFT TURN,39.167925,-77.20516333,"(39.167925, -77.20516333)"
MCP2737001Y,16047710,Montgomery County Police,Property Damage Crash,09/17/2016 12:10:00 AM,Maryland (State),NEW HAMPSHIRE AVE,County,ASHTON OAKS CT,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,28A0D6B1-9939-4251-8464-2EC5102490FC,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,71EA6242-1B60-4BCD-841A-08ACCBBB0401,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.15315833,-77.01239333,"(39.15315833, -77.01239333)"
MCP1205002R,16063700,Montgomery County Police,Property Damage Crash,12/12/2016 08:30:00 AM,Maryland (State),EAST WEST HWY,County,GRUBB RD,,N/A,,OTHER,RAINING,WET,DAYLIGHT,N/A,N/A,,F7E7D745-1382-4FBC-A07B-E5E0511A14A7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F42B7499-32D4-4002-9773-9325D4020D27,SUPERFICIAL,PASSENGER CAR,PARKED,38.99666,-77.05519333,"(38.99666, -77.05519333)"
MCP2875001V,16019497,Montgomery County Police,Injury Crash,04/20/2016 07:39:00 PM,County,MIDDLEBROOK RD,County,WARING STATION RD,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,9384C58B-6B18-472D-A3EF-9F05FFF39F7A,Yes,POSSIBLE INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MD,8D349134-7BED-49E4-90CB-987F4F694EF4,DISABLING,PASSENGER CAR,MAKING LEFT TURN,39.17509877,-77.25365058,"(39.17509877, -77.25365058)"
MCP2788000T,16029666,Montgomery County Police,Injury Crash,06/12/2016 09:35:00 PM,Maryland (State),UNIVERSITY BLVD W,County,ELKIN ST,,N/A,,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,5F0A0FC2-7C04-489A-82FC-ECDD17BDF394,Yes,POSSIBLE INJURY,N/A,UNKNOWN,,8A57BA07-0529-42E3-9E65-A2069DC72B89,UNKNOWN,,UNKNOWN,39.041625,-77.050325,"(39.041625, -77.050325)"
MCP2116003F,16002511,Montgomery County Police,Property Damage Crash,01/14/2016 09:09:00 AM,County,REDLAND RD,Other Public Roadway,SOMERVILLE DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,0429C753-5209-4AB2-83E9-EEFFEAB5654A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,525FF501-3B9F-4909-9D2F-551F76D3167C,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.11633333,-77.16577833,"(39.11633333, -77.16577833)"
MCP94150008,17002946,Montgomery County Police,Property Damage Crash,01/17/2017 05:35:00 PM,,PARKING LOT OF 8110 GEORGIA AVE,,SILVER SPRING MD 20910,,N/A,,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,B17A2BEB-728B-4883-8B67-69A3A4CD9A5F,Yes,NO APPARENT INJURY,"N/A, WET",LOOKED BUT DID NOT SEE,MD,7F2F18A7-F77E-472E-A3E9-D482FAB404C8,SUPERFICIAL,POLICE VEHICLE/NON EMERGENCY,BACKING,38.99113505,-77.02724397,"(38.99113505, -77.02724397)"
MCP2875001Q,16009790,Montgomery County Police,Injury Crash,02/27/2016 03:42:00 PM,Maryland (State),GERMANTOWN RD,Maryland (State),CLOPPER RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,586EC538-3358-4058-A706-7D248F4E5C00,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,F73FAF16-394F-43F4-9B43-4067A0C2B960,DISABLING,PASSENGER CAR,STOPPED IN TRAFFIC LANE,39.16306333,-77.28294667,"(39.16306333, -77.28294667)"
EJ7855001V,170509873,Gaithersburg Police Depar,Injury Crash,05/25/2017 05:38:00 PM,Maryland (State),FREDERICK RD,Municipality,DALAMAR ST,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,N/A,NO CONTROLS,NONE DETECTED,,34881270-6D2D-4955-BAF8-40A49AD6219B,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,MD,F6C06978-5C1F-42BC-BCD4-6EB4F25873CF,DISABLING,PASSENGER CAR,MAKING LEFT TURN,39.14672167,-77.20497,"(39.14672167, -77.20497)"
MCP1113000R,16004335,Montgomery County Police,Property Damage Crash,01/26/2016 03:05:00 PM,,,,,DRIVEWAY OF 25912 REVA DRIVE,,,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,N/A,NONE DETECTED,,35C7B927-4469-4741-B8FA-2D47C8BD808A,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",LOOKED BUT DID NOT SEE,MD,6973CB02-D402-4FE3-B04D-1FA60CD40E61,SUPERFICIAL,POLICE VEHICLE/EMERGENCY,BACKING,39.28248211,-77.17742622,"(39.28248211, -77.17742622)"
MCP2203001P,17015246,Montgomery County Police,Property Damage Crash,03/24/2017 08:00:00 PM,,,,,PARKING LOT OF 2201 RANDOLPH RD,,,STRAIGHT MOVEMENT ANGLE,UNKNOWN,,DARK -- UNKNOWN LIGHTING,N/A,UNKNOWN,,3DA6E826-949E-4280-8906-DBDC274D378D,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F9A5C6BE-A6FE-4D24-A83E-E629A88F5F27,SUPERFICIAL,(SPORT) UTILITY VEHICLE,BACKING,39.06031837,-77.04778969,"(39.06031837, -77.04778969)"
MCP1350000W,16024000,Montgomery County Police,Property Damage Crash,05/14/2016 02:40:00 PM,County,MUDDY BRANCH RD,County,HARMONY HALL RD,,N/A,,SAME DIR REAR END,RAINING,WET,OTHER,TRAFFIC SIGNAL,NONE DETECTED,,85EDD5E5-16FA-4B1A-A199-5D793305D11B,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,VA,816B8D97-FDAB-4014-AE4B-F59F3C46A1B6,FUNCTIONAL,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,39.13688833,-77.20540667,"(39.13688833, -77.20540667)"
MCP2556000T,16040762,Montgomery County Police,Injury Crash,08/11/2016 05:53:00 PM,Maryland (State),FREDERICK RD,Municipality,S WESTLAND DR,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,9572145E-E507-4EBC-AA9C-0C7C86DF6B34,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,E0789FD6-30E3-47CC-8DFD-8A6E343A3F14,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.12616333,-77.18288833,"(39.12616333, -77.18288833)"
MCP2945000J,15037981,MONTGOMERY,Injury Crash,07/31/2015 08:00:00 PM,County,BUDD RD,Unknown,IN CORP LMTS POOLESVILLE,,N/A,,HEAD ON,CLEAR,DRY,DAYLIGHT,STOP SIGN,ALCOHOL PRESENT,,190C06B6-CC08-462A-9BBD-A69CA38CF88D,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,6DABF35D-B129-4A9A-9AC4-E115551E3B1B,SUPERFICIAL,PICKUP TRUCK,MOVING CONSTANT SPEED,39.13385521,-77.40237236,"(39.13385521, -77.40237236)"
MCP29820023,170525007,Montgomery County Police,Property Damage Crash,08/15/2017 03:56:00 PM,Maryland (State),GEORGIA AVE,Maryland (State),FOREST GLEN RD,,N/A,,SAME DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,81310BEB-5DF2-4652-B999-FECC2A7D622D,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,75EB625F-A1C5-4C90-90FB-394CD8CF5966,SUPERFICIAL,PASSENGER CAR,SLOWING OR STOPPING,39.01537667,-77.04265333,"(39.01537667, -77.04265333)"
MCP2812001W,16029425,Montgomery County Police,Property Damage Crash,06/11/2016 03:43:00 PM,Maryland (State),16TH ST,Maryland (State),COLESVILLE RD,,N/A,,SAME DIR REAR END,CLEAR,N/A,DAYLIGHT,YIELD SIGN,N/A,,611DB849-B900-46AC-B558-18141CDB6E95,Unknown,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,32E1DE71-F447-4285-B85F-90A852731DD1,DISABLING,PASSENGER CAR,N/A,38.99273833,-77.03621,"(38.99273833, -77.03621)"
MCP3037000S,170501443,Montgomery County Police,Property Damage Crash,04/10/2017 04:39:00 PM,,,,,PARKING LOT OF 11538 ALDBURG WAY,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,A6BF3275-5E66-474A-8F15-811B172300A7,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,0A0E3486-8049-4E6A-9E65-C28CCA46F8CA,UNKNOWN,PASSENGER CAR,BACKING,39.18865138,-77.240206,"(39.18865138, -77.240206)"
MCP29090013,16043702,Montgomery County Police,Property Damage Crash,08/27/2016 06:56:00 PM,County,ARLINGTON RD,County,HAMPDEN LA,,N/A,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,E41932A5-072C-4647-884D-244D2B043881,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,17C496EC-822C-4086-9DF0-B664B138140D,FUNCTIONAL,(SPORT) UTILITY VEHICLE,CHANGING LANES,38.98250833,-77.09849667,"(38.98250833, -77.09849667)"
MCP29350014,17013039,Montgomery County Police,Property Damage Crash,03/13/2017 01:06:00 AM,Maryland (State),UNIVERSITY BLVD E,County,E FRANKLIN AVE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,92B3BABF-AB5D-410C-A763-005D34FD3E09,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,DC,46F39BED-C4DA-4ED3-B346-6934C4F27401,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.01058333,-77.00114833,"(39.01058333, -77.00114833)"
MCP27540010,16054975,Montgomery County Police,Injury Crash,10/25/2016 07:24:00 PM,Maryland (State),NEW HAMPSHIRE AVE,County,NORTHWEST DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,NONE DETECTED,,DF65D8F0-1F69-4158-A775-357DDCBE72F2,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E956F28B-77E2-4F57-8AEE-ED27F8C81691,SUPERFICIAL,PASSENGER CAR,SLOWING OR STOPPING,39.03580333,-76.98832,"(39.03580333, -76.98832)"
MCP2987000C,16007222,Montgomery County Police,Injury Crash,02/12/2016 08:10:00 AM,,,,,"PARKING LOT OF 910 SCHINDLER DRIVE, SILVER SPRING MD 20903",,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,88103040-C860-492A-944F-F8021AD9325B,Yes,SUSPECTED MINOR INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MD,2318FDA8-1D99-40A6-A23F-DEBD732D5409,UNKNOWN,PASSENGER CAR,ACCELERATING,39.02693747,-76.99088931,"(39.02693747, -76.99088931)"
MCP2464000N,16025703,Montgomery County Police,Property Damage Crash,05/23/2016 07:10:00 PM,County,PORTER RD,County,MILFORD AVE,,N/A,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,WET,DAYLIGHT,NO CONTROLS,N/A,,0EA5B3C0-FFE9-48C7-A5A9-5928FF39170A,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,D3D59C3C-000E-4E17-8E6D-36AF14D7FF6C,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.00014051,-77.04445973,"(39.00014051, -77.04445973)"
MCP27720014,16035555,Montgomery County Police,Property Damage Crash,07/13/2016 09:48:00 PM,Maryland (State),ROCKVILLE PIKE,County,GROSVENOR LA,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,N/A,,71B13DDB-0BAA-4EA9-94EE-38F991C1A025,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,B4DF0B91-37D9-48A4-9BF6-B0EC10E3A9B0,SUPERFICIAL,PICKUP TRUCK,STARTING FROM LANE,39.23764333,-77.29137333,"(39.23764333, -77.29137333)"
MCP13420011,16026401,Montgomery County Police,Property Damage Crash,05/27/2016 12:47:00 PM,Maryland (State),DARNESTOWN RD,Maryland (State),QUINCE ORCHARD RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,DB0C36F9-F456-4272-9E22-91881C5433BB,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,845F9DB1-7BEA-4DFF-B660-E0280E23833C,DISABLING,PASSENGER CAR,STARTING FROM LANE,39.11788667,-77.252115,"(39.11788667, -77.252115)"
MCP2818001G,15061786,MONTGOMERY,Property Damage Crash,12/03/2015 04:45:00 PM,US (State),GEORGIA AVE,County,KING ST,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,23383AD5-D1DA-44A6-84C5-4A0656886BFB,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,6DB88EF8-38A1-4388-B10E-E29F8C2C5B86,DISABLING,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,38.986415,-77.026735,"(38.986415, -77.026735)"
MCP2978000V,15066010,MONTGOMERY,Injury Crash,12/24/2015 05:27:00 PM,County,TRAVILAH RD,County,GLEN RD,,N/A,,HEAD ON LEFT TURN,CLEAR,WET,DUSK,N/A,NONE DETECTED,,B3D2FD08-5C52-4497-AF2F-21849095C924,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,4FEA7825-EB8A-48A0-83F5-2C604895E618,DESTROYED,PASSENGER CAR,MOVING CONSTANT SPEED,39.07174667,-77.26068333,"(39.07174667, -77.26068333)"
MCP2910002Z,16062606,Montgomery County Police,Property Damage Crash,12/06/2016 01:15:00 PM,County,BRIGGS CHANEY RD,Ramp,RAMP 1 FR US29 NB TO BRIGGS CHANEY RD WB,,N/A,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,D892453F-53FD-444A-A2D9-8862A2662EFB,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",NOT DISTRACTED,MD,6C07D879-4364-48C6-A680-AF23FF7AAF49,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,39.08225667,-76.94767833,"(39.08225667, -76.94767833)"
